emp_no,first_name,last_name,title,from_date,to_date
249433,Ayonca,Matzov,Technique Leader,1988-06-03,1989-06-03
404236,Zengping,Kakkar,Staff,1988-07-22,1989-07-22
496970,Giordano,Maquelin,Technique Leader,1999-12-31,2000-12-30
24205,Roddy,Rubsam,Staff,1993-09-19,1994-09-19
237289,Brendon,Fritzsche,Senior Staff,1998-01-19,1999-01-19
279280,Niranjan,Debuse,Senior Engineer,1992-09-21,1993-09-21
233397,Fay,Sundgren,Staff,1990-07-07,1991-07-07
252241,Zito,Alvarado,Assistant Engineer,1986-07-07,1987-07-07
429569,Fumiya,Chappelet,Technique Leader,1992-09-03,1993-09-03
52283,Trygve,Krupka,Engineer,1994-03-11,1995-03-11
232723,Tesuya,Bugrara,Senior Staff,1993-02-13,1994-02-13
420599,Hidde,Riexinger,Engineer,1986-11-18,1987-11-18
59195,Ronnie,Pollock,Staff,1990-06-19,1991-06-19
475938,Shigeaki,Lanteri,Technique Leader,1989-02-17,1990-02-17
473824,Shin,Puoti,Assistant Engineer,1996-12-20,1997-12-20
89346,Mansur,Comyn,Technique Leader,1999-08-31,2000-08-30
236559,Berna,Nanard,Assistant Engineer,1989-08-20,1990-08-20
266310,Zvonko,Serdy,Engineer,1987-06-24,1988-06-23
89487,Kazuhira,Seiwald,Assistant Engineer,1995-03-25,1996-03-24
48904,Yuichiro,Malabarba,Engineer,1994-03-07,1995-03-07
497340,Fayez,Keohane,Assistant Engineer,1990-09-19,1991-09-19
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,1999-07-21
60559,Jeanna,Stemann,Technique Leader,1988-08-29,1989-08-29
297431,Cathie,Ratnakar,Engineer,1996-06-23,1997-06-23
37070,Jeong,Undy,Technique Leader,1985-02-13,1986-02-13
418298,Arvin,Pusterhofer,Senior Engineer,1995-03-02,1996-03-01
403621,Deborah,Kaminger,Assistant Engineer,1988-06-04,1989-06-04
292110,Menkae,Showalter,Technique Leader,1996-08-09,1997-08-09
281834,Fumitake,Marchegay,Staff,1991-09-29,1992-09-28
248094,Valeska,Lupu,Staff,1998-09-21,1999-09-21
402102,Kersti,Granlund,Staff,1995-03-19,1996-03-18
70469,Tru,Miyakawa,Assistant Engineer,1990-09-03,1991-09-03
432031,Adamantios,Matzat,Assistant Engineer,1987-03-01,1988-02-29
40536,Harngdar,Bernardinello,Senior Engineer,1988-02-29,1989-02-28
59869,Zsolt,Riefers,Assistant Engineer,1987-09-25,1988-09-24
201229,Alejandra,Khasidashvili,Assistant Engineer,1994-07-30,1995-07-30
251166,Hinrich,Hooghiemstra,Assistant Engineer,1985-10-05,1986-10-05
452956,Gou,Thombley,Technique Leader,1987-04-09,1988-04-08
201708,Anneli,Perl,Engineer,1992-09-08,1993-09-08
241100,Cedric,Molenaar,Senior Engineer,1990-10-06,1991-10-06
79239,Denny,Griswold,Engineer,1989-05-18,1990-05-18
105432,Mohamadou,Stafford,Senior Engineer,1995-09-12,1996-09-11
33215,Steen,Fasbender,Staff,1993-02-14,1994-02-14
75420,Clyde,Vrecion,Assistant Engineer,1997-07-03,1998-07-03
275158,Satyanarayana,Brandsma,Assistant Engineer,1999-12-08,2000-12-07
292828,Ziya,Tokunaga,Staff,1986-01-08,1987-01-08
256856,Hongzue,Barbanera,Senior Staff,1987-06-17,1988-06-16
201180,Odinaldo,Bridgland,Senior Engineer,1989-06-09,1990-06-09
443485,Marke,Klerer,Staff,1990-04-14,1991-04-14
42911,Brigham,Eterovic,Assistant Engineer,1994-10-08,1995-10-08
206836,Guadalupe,Pfau,Senior Engineer,1993-03-22,1994-03-22
483213,Phillip,Munch,Staff,1991-09-02,1992-09-01
79763,Sanjoy,Barreiro,Senior Engineer,1988-04-09,1989-04-09
61377,Dannz,Ohori,Assistant Engineer,1988-01-18,1989-01-17
76178,Chiradeep,Meriste,Senior Engineer,1988-05-23,1989-05-23
466603,Yechezkel,Nourani,Senior Engineer,1991-08-01,1992-07-31
426706,Karsten,Kawashima,Engineer,1994-03-15,1995-03-15
273806,Hongzhu,Beetstra,Engineer,1991-01-24,1992-01-24
89941,Arnould,Weedman,Technique Leader,1989-07-28,1990-07-28
20248,Vidar,Demri,Senior Staff,1999-12-31,2000-12-30
423350,Heping,Monarch,Senior Engineer,1988-04-15,1989-04-15
434936,Sahrah,Rosis,Senior Engineer,1994-06-24,1995-06-24
40536,Harngdar,Bernardinello,Engineer,1988-02-29,1989-02-28
486955,Jaber,Feldmann,Engineer,1997-05-23,1998-05-23
449966,Mabry,Knightly,Engineer,1994-01-04,1995-01-04
262440,Subbu,Kaiserswerth,Engineer,1992-06-15,1993-06-15
445456,Apostol,Gruenwald,Senior Engineer,1998-08-04,1999-08-04
284300,Ishfaq,Mahmud,Technique Leader,1991-11-29,1992-11-28
426819,Sandeepan,Kulisch,Assistant Engineer,1997-05-16,1998-05-16
224390,True,Shobatake,Senior Staff,1996-05-17,1997-05-17
262210,Chinho,Bottner,Engineer,1985-07-29,1986-07-29
207779,Chinya,Kamble,Senior Staff,1992-05-31,1993-05-31
262861,Kayoko,Attimonelli,Assistant Engineer,1992-10-14,1993-10-14
426795,Huican,Lunn,Senior Engineer,1986-07-23,1987-07-23
292110,Menkae,Showalter,Senior Staff,1996-08-09,1997-08-09
46222,Mrinalini,Strooper,Assistant Engineer,1990-03-05,1991-03-05
240236,True,Tischendorf,Engineer,1986-01-19,1987-01-19
203599,Ewing,DiGiano,Technique Leader,2000-02-01,2001-01-31
424797,Theron,Itschner,Technique Leader,1985-05-16,1986-05-16
219497,Moie,Zastre,Technique Leader,1991-10-11,1992-10-10
221435,Djenana,Marrevee,Senior Engineer,1994-02-06,1995-02-06
478768,Arun,Katzenelson,Technique Leader,1991-10-28,1992-10-27
431887,Poorav,Ranst,Staff,1996-06-01,1997-06-01
26788,Zongyan,Dalphin,Senior Staff,1988-04-23,1989-04-23
259237,Palash,Gammage,Assistant Engineer,1987-10-23,1988-10-22
289807,Soenke,Lemarechal,Staff,1994-09-04,1995-09-04
106695,Lijie,Garrabrants,Engineer,1985-10-02,1986-10-02
217551,Panayotis,Lukaszewicz,Senior Engineer,1989-06-06,1990-06-06
94131,Bernardo,Vasanthakumar,Engineer,1997-05-01,1997-07-20
493278,Shaleah,Pileggi,Staff,1999-02-10,1999-10-30
106695,Lijie,Garrabrants,Technique Leader,1985-10-02,1986-10-02
290010,Fox,Lodder,Engineer,1988-02-17,1989-02-16
431887,Poorav,Ranst,Technique Leader,1996-06-01,1997-06-01
235096,Sverrir,Gyimothy,Senior Engineer,1987-03-21,1988-03-20
219035,Kristine,Bierman,Staff,1988-05-13,1989-05-13
263370,Shakhar,Ranze,Senior Staff,1999-05-29,2000-05-28
43358,Ottavia,Mitsuhashi,Staff,1989-08-18,1990-08-18
443841,Shaw,Kading,Technique Leader,1992-07-16,1993-07-16
40765,Michaela,Ramsak,Senior Engineer,1992-12-21,1993-12-21
459356,Pramod,Wendorf,Engineer,1998-12-25,1999-12-25
41137,Bikash,Buchter,Assistant Engineer,1987-11-23,1988-11-22
220699,Nahid,Gyimothy,Engineer,1995-08-18,1996-08-17
95920,Nobuyoshi,Hegner,Senior Staff,1994-09-07,1995-09-07
217551,Panayotis,Lukaszewicz,Technique Leader,1989-06-06,1990-06-06
467441,Margareta,Bondorf,Assistant Engineer,1988-11-07,1989-11-07
451272,Jacopo,Krohm,Senior Engineer,1991-04-24,1992-04-23
241952,Maya,Anandan,Engineer,1996-06-28,1997-06-28
261184,Masako,Kornatzky,Technique Leader,1987-08-29,1988-08-28
108988,Oksana,Baek,Assistant Engineer,1989-07-20,1990-07-20
455914,Peer,Angelopoulos,Staff,1989-07-23,1990-07-23
480571,Anoosh,Wielonsky,Technique Leader,1994-08-04,1995-08-04
294144,Takanari,Ermel,Engineer,1992-01-11,1993-01-10
216054,Sahrah,Angiulli,Staff,1986-07-31,1987-07-31
403644,Krisda,Hainaut,Assistant Engineer,1995-07-08,1996-07-07
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,1999-03-14
455243,Khoa,Bahk,Assistant Engineer,1991-06-10,1992-06-09
251403,Utpal,DuBourdieux,Senior Staff,1997-11-19,1998-11-19
222354,Valdiodio,Schlumberger,Engineer,1993-08-07,1994-08-07
106096,Naftali,Schurmann,Senior Engineer,1992-12-02,1993-12-02
251341,Divier,Kumaresan,Staff,1992-12-05,1993-12-05
201180,Odinaldo,Bridgland,Staff,1989-06-09,1990-06-09
93600,Kristina,Neimat,Senior Engineer,1988-04-18,1989-04-18
265875,Fan,Marsiglia,Technique Leader,1989-09-03,1990-09-03
400796,Bodo,Halevi,Assistant Engineer,1996-05-30,1997-05-30
425540,Paddy,Zumaque,Technique Leader,1995-11-12,1996-11-11
467886,Sivanarayana,Chandrasekhar,Assistant Engineer,1996-01-24,1997-01-23
284300,Ishfaq,Mahmud,Staff,1991-11-29,1992-11-28
58601,Sungwon,Asser,Senior Engineer,2000-01-27,2000-04-01
80745,Rimli,Huttel,Staff,1989-12-14,1990-12-14
107486,Siamak,Luiz,Senior Engineer,1987-02-11,1988-02-11
418380,Kazuhiko,Gornas,Staff,1993-05-20,1994-05-20
66530,Dung,Leaver,Technique Leader,1998-04-04,1999-04-04
403644,Krisda,Hainaut,Technique Leader,1995-07-08,1996-07-07
94761,Hitofumi,Zaccaria,Technique Leader,1988-11-22,1989-11-22
262928,Piyush,Gill,Senior Staff,1990-08-31,1991-08-31
54632,Etsuo,Serot,Technique Leader,1989-06-14,1990-06-14
89346,Mansur,Comyn,Engineer,1999-08-31,2000-08-30
15058,Bouchung,Bugrara,Engineer,1990-06-18,1991-06-18
469104,Nadjib,Comellas,Technique Leader,1996-04-18,1997-04-18
215419,Flemming,Kroha,Senior Engineer,1995-01-23,1996-01-23
482335,Kwangyoen,Peck,Assistant Engineer,1994-01-16,1995-01-16
206865,Vasilii,Cochrane,Engineer,1991-09-13,1992-09-12
442653,Mona,Hebden,Senior Engineer,1995-10-20,1996-10-19
99057,Shugo,Reeken,Assistant Engineer,1999-06-21,2000-06-20
276184,Mari,Swick,Technique Leader,1991-04-08,1992-04-07
238252,Uno,Suppi,Staff,1996-12-27,1997-12-27
438158,Shaw,Varman,Senior Staff,1994-12-16,1995-12-16
99057,Shugo,Reeken,Technique Leader,1999-06-21,2000-06-20
245664,Manohar,Kilgore,Engineer,1998-11-17,1999-11-17
288028,Kauko,Narwekar,Senior Staff,1985-12-16,1986-12-16
208639,Larisa,Lukaszewicz,Technique Leader,1989-10-10,1990-10-10
55687,Shih,Lindqvist,Staff,1995-03-29,1996-03-28
220131,Reinhard,Slaats,Assistant Engineer,1994-06-08,1995-06-08
73516,Qingxiang,Badache,Engineer,1989-06-25,1990-06-25
436797,Ohad,Henders,Engineer,1990-11-03,1991-11-03
246146,Zhongwei,Melski,Staff,1987-09-04,1988-09-03
284045,Fun,Seiwald,Assistant Engineer,1994-06-24,1995-06-24
473268,Hugo,Sgarro,Assistant Engineer,1992-04-24,1993-04-24
292828,Ziya,Tokunaga,Engineer,1986-01-08,1987-01-08
260249,Vugranam,Beausoleil,Assistant Engineer,1998-05-14,1999-05-14
31629,Toong,Veldwijk,Engineer,1986-07-28,1987-07-28
281180,Phillip,Fontet,Senior Staff,1991-09-03,1992-09-02
31909,Murthy,Peek,Assistant Engineer,1994-07-19,1995-07-19
20128,Kazunori,Peak,Senior Engineer,1999-08-13,2000-08-12
74344,Hiroyasu,Provine,Senior Engineer,1994-11-25,1995-11-25
289454,Bowen,Narwekar,Senior Staff,1985-03-08,1986-03-08
53746,Manu,Erva,Senior Staff,1989-03-17,1990-03-17
423516,Wojceich,Butterworth,Staff,1996-08-29,1997-08-29
287327,Youjian,Felder,Engineer,1993-07-15,1994-07-15
277420,Rayond,Schach,Engineer,1995-04-22,1996-04-21
465501,Mrinalini,Gire,Engineer,1992-11-09,1993-11-09
21188,Piyush,Danecki,Engineer,2000-01-08,2001-01-07
239803,Oscal,Ernst,Assistant Engineer,1992-05-19,1993-05-19
42911,Brigham,Eterovic,Senior Engineer,1994-10-08,1995-10-08
201739,Genta,Terekhov,Senior Engineer,1998-07-21,1999-07-21
475538,Christophe,Leaver,Technique Leader,1998-10-31,1999-10-31
99590,Dhritiman,Anily,Staff,1998-12-16,1999-12-16
450255,Udo,Waymire,Assistant Engineer,1986-06-14,1987-06-14
241667,Atilio,Olivero,Staff,1985-09-04,1986-09-04
285318,Theron,Ravishankar,Senior Staff,1991-12-27,1992-12-26
297954,Sailaja,Fujisaki,Engineer,1995-07-24,1996-07-23
17731,Gennady,Roison,Staff,1989-12-06,1990-12-06
213447,Armond,Perly,Staff,1989-09-14,1990-09-14
241872,Bluma,Fetvedt,Assistant Engineer,1992-02-03,1993-02-02
19803,Ziva,Kowalchuk,Senior Engineer,1987-06-13,1988-06-12
494493,Masasuke,Koprowski,Engineer,1996-11-20,1997-11-20
424685,Changho,Veevers,Staff,1997-03-03,1998-03-02
209443,Krassimir,Garnier,Engineer,1998-01-26,1999-01-26
467441,Margareta,Bondorf,Senior Engineer,1988-11-07,1989-11-07
462736,Larisa,Murtafg,Senior Staff,1991-02-25,1992-02-25
105731,Sachem,Cromarty,Technique Leader,1990-08-20,1991-08-20
445723,Gaurav,Roison,Senior Staff,1986-10-22,1987-10-22
79043,Katsuo,Hockney,Engineer,1999-11-07,2000-11-06
492677,Goetz,McAffer,Staff,1988-02-05,1989-02-04
408654,Yongqiao,Cochrane,Senior Staff,1986-10-27,1987-10-27
61541,Kasidit,Papsdorf,Senior Staff,1993-08-17,1994-08-17
47702,Juyoung,Vieri,Staff,1991-08-12,1992-08-11
202291,Ortrun,Schmiedel,Senior Engineer,1997-07-18,1998-07-18
287583,Jovan,Hockney,Staff,1990-06-21,1991-06-21
43733,Huei,Boguraev,Engineer,1993-12-31,1994-12-31
284561,Duri,Beznosov,Senior Staff,1988-02-15,1989-02-14
455914,Peer,Angelopoulos,Senior Staff,1989-07-23,1990-07-23
294527,Ashish,Candan,Assistant Engineer,1992-02-02,1993-02-01
271106,Taisook,Kampfer,Senior Engineer,1997-11-30,1998-11-30
447191,Dmitri,Rousseau,Technique Leader,1995-06-19,1996-06-18
60959,Tetsushi,Sridhar,Senior Engineer,1989-01-12,1990-01-12
293752,Jungsoon,Bail,Staff,1986-02-18,1987-02-18
446959,Aram,Passino,Senior Staff,1995-01-28,1996-01-28
37719,Nakhoon,Buescher,Senior Engineer,1988-06-12,1989-06-12
86672,JoAnne,Anido,Engineer,1995-09-15,1996-09-14
109741,Hatem,Fadgyas,Technique Leader,1991-11-13,1992-11-12
442704,Terresa,Milicia,Engineer,1993-05-24,1994-05-24
299346,Fumitake,Sichman,Senior Staff,1991-02-21,1992-02-21
291352,Danai,Trelles,Staff,1992-04-17,1993-04-17
269728,Naftali,Kragelund,Assistant Engineer,1987-05-16,1988-05-15
245664,Manohar,Kilgore,Assistant Engineer,1998-11-17,1999-11-17
28193,Xinglin,Mitsuhashi,Technique Leader,1988-12-14,1989-12-14
38043,Michaela,Randi,Staff,1985-11-23,1986-11-23
205500,Mary,Setiz,Engineer,1989-01-13,1990-01-13
237400,Guadalupe,Perri,Technique Leader,1996-06-27,1997-06-27
289687,Fai,Maccarone,Staff,1985-10-30,1986-10-30
10762,Lech,Himler,Assistant Engineer,1992-01-21,1993-01-20
474918,Rasikan,Khalil,Staff,1985-02-10,1985-03-11
264939,Bogdan,Bahi,Technique Leader,1985-02-09,1986-02-09
31341,Oksana,Zultner,Engineer,1991-03-23,1992-03-22
90077,Vivian,Guerreiro,Senior Engineer,1991-07-08,1992-07-07
473490,Pantung,Reeker,Senior Engineer,1992-05-11,1993-05-11
90614,Yonghoan,Trogemann,Senior Staff,1988-09-23,1989-09-23
235793,Jayesh,Spinelli,Senior Staff,1992-07-18,1993-07-18
467176,Przemyslawa,Borovoy,Staff,1993-06-18,1994-06-18
286779,Sigeru,Versino,Assistant Engineer,1998-08-31,1999-08-31
455364,Ranga,Plesums,Senior Staff,1990-01-28,1991-01-28
94131,Bernardo,Vasanthakumar,Technique Leader,1997-05-01,1997-07-20
263012,Hideo,Buchter,Technique Leader,1999-05-01,2000-04-30
79895,Fei,Murtagh,Assistant Engineer,1986-01-19,1987-01-19
103172,Doowon,Highland,Staff,1988-03-08,1989-03-08
61541,Kasidit,Papsdorf,Engineer,1993-08-17,1994-08-17
52283,Trygve,Krupka,Assistant Engineer,1994-03-11,1995-03-11
476055,Girolamo,Schlumberger,Engineer,1993-03-07,1994-03-07
412757,Leen,Peak,Senior Staff,1999-11-20,2000-11-19
60091,Surveyors,Bade,Engineer,1990-04-11,1991-04-11
472790,Zhenbing,Ibel,Staff,1985-10-29,1986-10-29
82511,Uwe,Koblick,Senior Staff,1998-04-04,1999-04-04
48947,Filipp,Akaboshi,Assistant Engineer,1992-05-20,1993-05-20
31147,Divine,Sidhu,Staff,1989-07-05,1990-07-05
423214,Tsutomu,Tetzlaff,Engineer,1987-09-24,1988-09-23
235017,Irena,Dratva,Technique Leader,1991-09-07,1992-09-06
48882,Leen,Lamparter,Engineer,1993-06-07,1994-06-07
228098,IEEE,Kroll,Staff,1997-05-10,1998-05-10
262928,Piyush,Gill,Senior Engineer,1990-08-31,1991-08-31
497409,Reinhard,Erde,Senior Engineer,1992-12-04,1993-12-04
218022,Mokhtar,Poupard,Staff,1992-02-02,1993-02-01
30007,Kousuke,Vecchio,Engineer,1990-02-23,1991-02-23
414814,Dayanand,Wielonsky,Technique Leader,1999-02-15,2000-02-15
435226,Yinghua,Panwar,Technique Leader,1994-06-11,1995-06-11
108988,Oksana,Baek,Senior Engineer,1989-07-20,1990-07-20
18187,Denis,Falster,Senior Engineer,1998-12-21,1999-06-03
285905,Kellyn,Bage,Staff,1994-11-04,1995-11-04
438158,Shaw,Varman,Senior Engineer,1994-12-16,1995-12-16
288606,Susumu,Swiss,Engineer,1991-11-15,1992-11-14
276868,Alois,Sanella,Assistant Engineer,1998-03-13,1999-03-13
284561,Duri,Beznosov,Technique Leader,1988-02-15,1989-02-14
81162,Marco,Klerer,Senior Engineer,1993-11-01,1994-11-01
14476,Sastry,Marrevee,Senior Staff,1999-09-25,2000-09-24
286573,Nahum,Nishimukai,Senior Engineer,1991-02-02,1992-02-02
30938,Yakkov,Samarati,Staff,1995-05-23,1996-05-22
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,1989-03-21
208653,Phillip,Schade,Senior Staff,1989-03-03,1990-03-03
251233,Yucel,Bernini,Senior Staff,1993-02-19,1994-02-19
455175,Soenke,Zaumen,Technique Leader,1992-02-22,1993-02-21
427852,Adil,Kieras,Engineer,1992-07-20,1993-07-20
461723,Deborah,Basawa,Engineer,1991-04-30,1992-04-29
270794,Dannz,Zhang,Senior Staff,1991-06-26,1992-06-25
56682,Roded,Picco,Staff,1993-11-06,1994-11-06
479407,Randi,Tomescu,Staff,1986-11-25,1987-11-25
229981,Jamaludin,Fordan,Assistant Engineer,1992-02-06,1993-02-05
252316,Gill,Niizuma,Engineer,1994-10-08,1995-10-08
33606,Clyde,Swift,Senior Engineer,1994-11-14,1995-11-14
220131,Reinhard,Slaats,Staff,1994-06-08,1995-06-08
91648,Dmitry,Msuda,Technique Leader,1988-10-22,1989-10-22
457070,Gay,Plavsic,Engineer,1987-08-06,1988-08-05
432257,Kwangjo,Hiltgen,Senior Engineer,1998-12-22,1999-12-22
32714,Radoslaw,Maliniak,Senior Staff,1997-11-17,1998-11-17
446785,Yuping,Papastamatiou,Senior Engineer,1988-08-30,1989-08-30
427571,Torsten,Ranta,Engineer,1987-12-11,1988-12-10
427805,Haldun,Compeau,Technique Leader,1997-10-15,1998-10-15
41518,Keung,Schapiro,Senior Engineer,1998-04-19,1999-04-19
419953,Ung,Orlowski,Assistant Engineer,1991-07-22,1992-07-21
233765,Kotesh,Chachaty,Staff,1991-03-25,1992-03-24
462067,Sampalli,Francisci,Engineer,1994-11-25,1995-11-25
240870,Francesca,Chorvat,Technique Leader,1985-03-03,1986-03-03
453070,Aran,Rosenbaum,Senior Staff,1991-04-25,1992-04-24
90084,Renny,Bale,Senior Engineer,1989-11-22,1990-11-22
18187,Denis,Falster,Senior Staff,1998-12-21,1999-06-03
247875,Xiong,Anick,Senior Engineer,1991-04-23,1992-04-22
291612,Siamak,Gomatam,Staff,1998-07-08,1999-07-08
404879,Jeanne,Kaminger,Staff,1987-07-21,1988-07-20
39000,Martijn,Vendrig,Senior Engineer,1997-03-03,1998-03-03
205174,Leszek,Spinelli,Staff,1998-12-10,1999-12-10
295255,Jacopo,Bellone,Senior Staff,1988-03-13,1989-03-13
236591,Insup,Reinhard,Technique Leader,1985-04-08,1986-04-08
465853,Kwan,Kampfer,Senior Engineer,1998-10-16,1999-10-16
463023,Itzchak,Penn,Technique Leader,1999-01-21,2000-01-21
84922,Parke,Unno,Assistant Engineer,1996-07-01,1997-07-01
494995,Yongmao,Pouyioutas,Technique Leader,1989-08-24,1990-08-24
401364,Pranay,Kambil,Engineer,1999-07-30,2000-07-29
418860,Ymte,Dalton,Assistant Engineer,1992-11-22,1993-11-22
241292,Uri,Lampe,Staff,1987-10-17,1988-10-16
291819,Uriel,Georg,Assistant Engineer,1991-06-08,1992-06-07
55857,Adin,Scallan,Senior Staff,1987-09-15,1988-09-14
89161,Conal,Yetto,Staff,1991-01-12,1992-01-12
281859,Masanao,Papastamatiou,Technique Leader,1985-11-25,1986-11-25
87783,Conor,Thorensen,Senior Engineer,1988-02-24,1989-02-23
229220,Fabrizio,Lichtman,Staff,1987-02-09,1988-02-09
293154,Syozo,Maliniak,Technique Leader,1992-11-09,1993-11-09
261737,Mark,Lindqvist,Senior Staff,1990-11-22,1991-11-22
480571,Anoosh,Wielonsky,Senior Engineer,1994-08-04,1995-08-04
474763,Mayuko,Clouatre,Technique Leader,1997-09-04,1998-09-04
261662,Berni,Assaf,Senior Staff,1989-09-08,1990-09-08
247122,Xiaobin,Narlikar,Assistant Engineer,1992-02-14,1993-02-13
406537,Martien,Ranum,Technique Leader,1993-03-15,1994-03-15
290284,Kwangjo,Menhardt,Staff,1996-01-11,1997-01-10
208147,Manu,Rothenberg,Staff,1988-12-06,1989-12-06
276027,Holgard,Stavenow,Senior Staff,1986-02-28,1987-02-28
232209,Nitsan,Rouquie,Engineer,1988-08-01,1989-08-01
216502,Xiaocheng,Suermann,Engineer,1997-12-15,1998-12-15
106958,Horward,Begiun,Technique Leader,1985-11-06,1986-11-06
275158,Satyanarayana,Brandsma,Engineer,1999-12-08,2000-12-07
272316,Surveyors,Muhling,Technique Leader,1999-07-19,2000-07-18
233818,Kellie,Heydon,Senior Engineer,1985-11-11,1986-11-11
437276,Dines,DeMori,Technique Leader,1987-12-07,1988-12-06
290284,Kwangjo,Menhardt,Engineer,1996-01-11,1997-01-10
402664,Subhada,Janetzko,Senior Engineer,1987-01-25,1988-01-25
90077,Vivian,Guerreiro,Engineer,1991-07-08,1992-07-07
432089,Irena,Gulla,Technique Leader,1989-12-30,1990-12-30
265794,Miquel,Halloran,Engineer,1994-01-14,1995-01-14
22185,Huai,Birch,Assistant Engineer,1996-03-26,1997-03-26
260083,Kwok,Journel,Technique Leader,1997-12-22,1998-12-22
56829,Nagui,Gruenwald,Senior Staff,1995-12-24,1996-12-23
80203,Shakhar,Baik,Senior Engineer,1993-12-01,1994-12-01
270792,Domenico,Wendorf,Senior Staff,1988-09-08,1989-09-08
84942,Shin,Fujisaki,Senior Engineer,1988-02-23,1989-02-22
269568,Rimli,Walston,Assistant Engineer,1996-01-28,1997-01-27
98288,Sumali,Huttel,Assistant Engineer,1989-09-12,1990-09-12
475965,Rimon,Pietracaprina,Staff,1985-07-10,1986-07-10
54795,Sumant,Nergos,Technique Leader,1993-05-07,1994-05-07
35087,Leif,Ashish,Assistant Engineer,1994-10-14,1995-10-14
251166,Hinrich,Hooghiemstra,Engineer,1985-10-05,1986-10-05
63444,Padma,Peres,Staff,1985-02-20,1986-02-20
65171,Jeane,Tasistro,Senior Staff,1994-07-06,1995-07-06
